Date,BAC,National,Diamond,Pearce
4/3/2014,5.829166667,7.444594595,6.897916667,17.19516182
4/4/2014,5.038541667,8.001052632,7.461458333,17.30495339
4/5/2014,4.839583333,7.153684211,8.1,17.16902503
4/6/2014,4.142708333,6.438947368,7.355208333,16.45022386
4/7/2014,3.984375,5.2125,6.141666667,15.5841164
4/8/2014,4.604166667,5.220833333,5.453125,15.56397751
4/9/2014,7.771875,6.073958333,5.311458333,16.85703307
4/10/2014,5.148809524,11.24895833,7.464210526,18.42526197
4/11/2014,2.634375,9.83258427,9.002105263,17.62762402
4/12/2014,2.409375,7.290625,7.469791667,16.19453307
4/13/2014,2.2625,6.367708333,6.989583333,15.6778664
4/14/2014,2.321875,5.831578947,6.166666667,15.24464272
4/15/2014,2.779166667,5.488421053,5.041666667,14.90768731
4/16/2014,2.790625,5.766666667,5.450526316,15.14054184
4/17/2014,2.664210526,5.970833333,5.390526316,15.14645924
4/18/2014,2.65625,5.994505495,5.369791667,15.1447849
4/19/2014,2.844210526,5.905208333,5.89787234,15.35369958
4/20/2014,2.297894737,6.543956044,5.785416667,15.34702499
4/21/2014,2.182291667,5.577659574,6.290625,15.15479459
4/22/2014,3.10625,7.480208333,6.625,16.20842196
4/23/2014,3.7875,8.527368421,5.834782609,16.52115285
4/24/2014,2.907368421,9.920833333,4.973958333,16.40532254
4/25/2014,2.730208333,6.916666667,5.885416667,15.64869973
4/26/2014,3.321052632,6.747916667,5.454166667,15.64564783
4/27/2014,2.747916667,5.73125,5.144791667,15.01258862
4/28/2014,2.452083333,5.06,4.532291667,14.48606084
4/29/2014,3.027368421,4.563541667,4.235416667,14.4133781
4/30/2014,3.161702128,5.645833333,4.760416667,14.99391989
5/1/2014,2.946875,6.002083333,4.925,15.09592196
5/2/2014,2.802083333,5.642708333,4.584375,14.81432473
5/3/2014,2.9,5.476041667,4.569473684,14.78644096
5/4/2014,2.698947368,5.389583333,4.4625,14.65494608
5/5/2014,2.651041667,5.1875,4.404166667,14.55217196
5/6/2014,3.413541667,5.335416667,4.526041667,14.89626918
5/7/2014,3.311578947,6.6625,4.509473684,15.29912005
5/8/2014,3.240625,6.314583333,4.741666667,15.23689418
5/9/2014,3.21875,6.140625,4.9125,15.22856084
5/10/2014,3.936170213,6.10625,5.025,15.49374258
5/11/2014,3.246875,6.190625,6.066315789,15.63920777
5/12/2014,2.629166667,5.4375,5.869791667,15.11675529
5/13/2014,3.201041667,4.741666667,6.119791667,15.15876918
5/14/2014,3.057894737,5.652083333,6.669791667,15.59785909
5/15/2014,2.962105263,5.821875,6.988541667,15.72877649
5/16/2014,2.7,5.609375,6.536458333,15.41988029
5/17/2014,2.778125,5.896842105,7.197916667,15.76223043
5/18/2014,2.492708333,6.413829787,7.914583333,16.07830966
5/19/2014,2.369791667,5.286458333,8.84375,15.97126918
5/20/2014,2.540425532,5.028125,10.31145833,16.43127213
5/21/2014,2.482291667,5.532291667,11.47916667,16.96918585
5/22/2014,2.490625,5.345833333,12.11368421,17.12131669
5/23/2014,2.588297872,5.485416667,12.80416667,17.43056291
5/24/2014,8.96875,5.404255319,13.16354167,19.65011817
5/25/2014,4.868421053,5.065263158,12.11354167,17.82034447
5/26/2014,2.761052632,7.687368421,14.32604167,18.72942342
5/27/2014,2.625,7.20625,14.884375,18.70981084
5/28/2014,3.083157895,5.470967742,19.50842105,19.82545141
5/29/2014,3.308421053,6.305494505,23.87684211,21.63485507
5/30/2014,3.451578947,5.531578947,17.42604167,19.2743357
5/31/2014,3.598947368,5.704255319,8.571875,16.42962841
6/1/2014,3.671875,5.8125,8.879166667,16.59244973
6/2/2014,4.167708333,5.144210526,10.24375,16.98982546
6/3/2014,15.94255319,7.013829787,7.207368421,20.52585298
6/4/2014,12.46526316,25.16129032,10.70106383,26.58047495
6/5/2014,10.63010753,23.92795699,15.18947368,27.05378191
6/6/2014,9.390625,17.72604167,15.67291667,24.73446362
6/7/2014,8.380208333,15.184375,15.26875,23.41571362
6/8/2014,8.241666667,13.8025974,13.38645833,22.28150998
6/9/2014,8.489583333,10.24615385,11.99042553,20.71332342
6/10/2014,10.54130435,7.834883721,13.81979167,21.20326242
6/11/2014,9.364583333,9.935416667,13.26526316,21.3263569
6/12/2014,8.255208333,14.55625,10.609375,21.61154696
6/13/2014,9.188541667,13.21263158,12.621875,22.14561859
6/14/2014,8.525,12.09895833,14.53263158,22.19013248
6/15/2014,5.481914894,13.15729167,14.846875,21.63329637
6/16/2014,5.804301075,10.05473684,11.66458333,19.64580959
6/17/2014,8.686170213,8.297894737,12.284375,20.22741583
6/18/2014,11.18387097,11.08020833,14.94270833,22.87353172
6/19/2014,7.872631579,13.79375,16.07894737,23.05304549
6/20/2014,7.404255319,14.2875,19.84166667,24.31574317
6/21/2014,6.926086957,16.015625,23.34105263,25.89885737
6/22/2014,6.497701149,13.10104167,14.05625,21.68960012
6/23/2014,4.052272727,10.18681319,15.93854167,20.53047837
6/24/2014,5.096629213,10.02021277,12.90416667,19.8116054
6/25/2014,4.751086957,10.39285714,14.94583333,20.50119499
6/26/2014,5.052688172,10.19479167,15.08645833,20.5825819
6/27/2014,4.264130435,8.791666667,10.81808511,18.42922991
6/28/2014,4.130208333,8.53372093,7.019791667,17.03250949
6/29/2014,2.733684211,9.891304348,6.813541667,16.95077925
6/30/2014,2.472916667,6.482978723,6.109375,15.49302597
7/1/2014,4.167708333,5.35625,6.013541667,15.65043584
7/2/2014,22.06526316,9.810416667,8.450526316,23.91333789
7/3/2014,20.09895833,33.16041667,23.05744681,35.91020978
7/4/2014,15.15104167,37.73854167,23.73157895,36.01165661
7/5/2014,85.346875,39.83854167,27.19166667,61.26363029
7/6/2014,14.81875,45.89456522,34.225,42.11737425
7/7/2014,9.183333333,69.13894737,23.39166667,44.3759183
7/8/2014,13.21875,23.94210526,124.209375,64.26134593
7/9/2014,20.45684211,31.34895833,44.00729167,42.40896655
7/10/2014,352.453125,22.91354167,53.53541667,153.4386303
7/11/2014,54.3875,283.240625,255.68125,208.2410608
7/12/2014,251.5270833,163.5416667,216.6802083,221.0542553
7/13/2014,115.0364583,149.7302083,295.53125,197.2372414
7/14/2014,36.50104167,229.6177083,77.27011494,124.9342241
7/15/2014,743.6947917,65.14166667,182.5270833,340.9257831
7/16/2014,731.5375,225.5354167,63.940625,350.8091164
7/17/2014,436.815625,792.5652632,120.7104167,460.5017041
7/18/2014,107.6364583,764.1,508.7189474,470.6230711
7/19/2014,110.1364583,171.8712766,454.8479167,256.0898197
7/20/2014,560.7645833,69.46666667,143.3145833,268.3198803
7/21/2014,2463.461458,329.88125,56.81458333,960.5236996
7/22/2014,1381.564583,1472.478313,160.4957447,1015.317483
