Date,BAC,National,Diamond,Spencer,Pearce
3/18/2014,10.18291667,10.99197917,11.8378125,12.05645833,12.60629418
3/19/2014,10.17739583,10.9484375,11.53239583,11.8653125,12.48813445
3/20/2014,9.995416667,10.95010417,11.51083333,11.71979167,12.42084279
3/21/2014,10.0534375,11.2115625,11.840625,11.985,12.6372664
3/22/2014,10.43260417,11.23333333,12.19770833,12.34479167,12.88994001
3/23/2014,10.57572917,11.41427083,12.39916667,12.681875,13.06511362
3/24/2014,10.80666667,11.7840625,12.42114583,12.68208333,13.27268307
3/25/2014,10.793125,11.9653125,12.84604167,12.99625,13.47021779
3/26/2014,10.9128125,12.15760417,12.85802083,13.13135417,13.5782039
3/27/2014,10.4275,11.879375,12.69760417,12.911875,13.27021779
3/28/2014,10.61510417,11.9090625,12.7953125,13.029375,13.37521779
3/29/2014,10.63302083,11.6678125,12.98833333,13.18489583,13.36511362
3/30/2014,10.71125,11.99427083,12.86916667,13.31791667,13.46028723
3/31/2014,10.64208333,11.85552083,12.86635417,13.11854167,13.39004418
4/1/2014,10.59125,11.9453125,12.83979167,13.14333333,13.39417612
4/2/2014,10.00145833,11.79427083,12.37666667,12.7234375,12.99285668
4/3/2014,9.987916667,11.42572917,12.365625,12.52010417,12.86181501
4/4/2014,10.2359375,11.10416667,12.53572917,12.8209375,12.89400251
4/5/2014,10.42458333,11.32125,12.24333333,12.71520833,12.93178029
4/6/2014,10.785625,11.54052083,12.32135417,12.59375,13.15122473
4/7/2014,10.95177083,11.95104167,12.93145833,13.05135417,13.54681501
4/8/2014,11.52729167,12.56645833,13.35104167,13.59989583,14.08365529
4/9/2014,11.7240625,12.80645833,13.90322917,14.056875,14.41330807
4/10/2014,11.60107143,13.12989583,13.92666667,14.39708333,14.48793604
4/11/2014,11.80833333,13.3565625,14.38770833,14.541875,14.78625945
4/12/2014,11.9540625,13.29177083,14.73510417,15.06270833,14.92903723
4/13/2014,11.90166667,13.36552083,14.68322917,15.1809375,14.91886362
4/14/2014,11.59895833,13.27729167,14.4809375,14.7803125,14.72112057
4/15/2014,11.4421875,13.25177083,14.4053125,14.7521875,14.63514834
4/16/2014,11.25197917,13.14885417,14.49927083,14.8425,14.56875946
4/17/2014,11.59541667,13.05864583,14.71166667,15.0846875,14.72396779
4/18/2014,11.6528125,13.03291667,14.54395833,15.01322917,14.67862057
4/19/2014,11.47145833,13.32,14.3575,14.8825,14.65171084
4/20/2014,12.04229167,13.29666667,14.81197917,15.04541667,14.9857039
4/21/2014,12.45979167,13.5715625,15.3290625,15.69104167,15.38886362
4/22/2014,12.80166667,14.16770833,15.10322917,15.59385417,15.62625946
4/23/2014,12.589375,14.07833333,15.09957895,15.348125,15.52448716
4/24/2014,12.17447917,14.14604167,15.324375,15.64614583,15.48369001
4/25/2014,12.0353125,14.23239583,15.50666667,15.81166667,15.52684973
4/26/2014,11.91322917,13.74104167,15.12375,15.50864583,15.19473168
4/27/2014,11.72666667,13.35,14.77875,15.21104167,14.88719696
4/28/2014,11.910625,13.365,14.78822917,15.15885417,14.95667612
4/29/2014,11.64083333,13.34708333,14.73458333,15.12395833,14.8428914
4/30/2014,11.49927083,13.44166667,14.5246875,14.94239583,14.7572664
5/1/2014,11.46104167,13.28739583,14.62927083,14.99822917,14.72796084
5/2/2014,11.95739583,13.4496875,15.04375,15.40041667,15.08566918
5/3/2014,12.871875,13.699375,15.25979167,15.67104167,15.54573862
5/4/2014,13.11260417,14.2425,15.53979167,15.93927083,15.90035668
