Date,BAC,National,Diamond,GPP_prediction
1/1/2014,0.245109625,NA,10.10861112,3.072186615
1/2/2014,0.544957403,NA,10.17806661,3.256838249
1/3/2014,1.306687763,NA,0.67728055,0
1/4/2014,0.946568019,NA,0.635638836,0
1/5/2014,0.586448275,NA,0.593997122,0
1/6/2014,0.548397747,NA,0.552355408,0
1/7/2014,0.711628612,NA,0.510713693,0
1/8/2014,0.874859476,NA,0.469071979,0
1/9/2014,1.038090341,NA,0.427430265,0
1/10/2014,0.276641577,NA,0.430058291,0
1/11/2014,1.515009589,NA,0.467071317,0
1/12/2014,0.990166675,NA,0.383820837,0
1/13/2014,0.46532376,NA,0.300570357,0
1/14/2014,0.696454185,NA,0.313858381,0
1/15/2014,0.927584609,NA,0.327146404,0
1/16/2014,0.549004087,NA,0.440099029,0
1/17/2014,1.038709971,NA,0.553051653,0
1/18/2014,0.510127548,NA,0.726990951,0
1/19/2014,0.777816721,NA,0.848371433,0
1/20/2014,0.602864406,NA,0.62165071,0
1/21/2014,0.427912091,NA,0.501975682,0
1/22/2014,2.866976791,NA,0.382300653,0
1/23/2014,1.541702531,NA,0.568079166,0
1/24/2014,0.21642827,NA,0.825282951,0
1/25/2014,0.638796487,NA,0.717230694,0
1/26/2014,0.610722673,NA,0.609178437,0
1/27/2014,0.56452501,NA,0.590611698,0
1/28/2014,0.62469403,NA,0.38756075,0
1/29/2014,0.684863049,NA,0.330138377,0
1/30/2014,1.676023609,NA,0.272716003,0
1/31/2014,0.876736864,NA,0.420508798,0
2/1/2014,0.730680121,NA,0.462478933,0
2/2/2014,0.584623378,NA,0.447350278,0
2/3/2014,0.55467821,NA,0.588219384,0
2/4/2014,0.524733042,NA,0.423502131,0
2/5/2014,0.494787874,NA,0.782411405,0
2/6/2014,0.874576461,NA,0.653154752,0
2/7/2014,0.641027262,NA,0.523898099,0
2/8/2014,0.407478063,NA,0.394641446,0
2/9/2014,0.364553333,NA,0.8734108,0
2/10/2014,0.574536751,NA,10.12603221,3.245610723
2/11/2014,0.508353216,NA,10.16288507,3.230945385
2/12/2014,0.624030677,NA,0.987953615,0
2/13/2014,0.639402443,NA,0.719026776,0
2/14/2014,0.731174169,NA,0.653378078,0
2/15/2014,0.284196147,NA,0.494051484,0
2/16/2014,0.637777615,NA,0.44414007,0
2/17/2014,0.991359082,NA,0.899017584,0
2/18/2014,0.838504778,NA,0.733547431,0
2/19/2014,0.689922739,NA,1.418197985,0
2/20/2014,0.5413407,NA,0.597057244,0
2/21/2014,0.553760861,NA,0.64787148,0
2/22/2014,0.474568513,NA,0.758306192,0
2/23/2014,0.583531232,NA,0.21779712,0
2/24/2014,0.663786228,NA,0.702872537,0
2/25/2014,0.711519562,NA,0.963115851,0
2/26/2014,0.697307152,NA,0.800614839,0
2/27/2014,0.248716761,NA,0.512703681,0
2/28/2014,0.736650305,NA,0.224792523,0
3/1/2014,1.224583849,NA,0.327894149,0
3/2/2014,10.19135835,NA,0.550566044,3.266288439
3/3/2014,1.682377443,0.70050073,1.253741955,0
3/4/2014,10.17345393,2.082239951,1.017358567,2.37665346
3/5/2014,1.741660909,1.519386383,10.15842752,2.425460915
3/6/2014,1.89676224,0.91855089,1.056021873,0
3/7/2014,1.321940198,NA,0.943395424,0
3/8/2014,10.1502729,0.779268985,1.505190737,2.097213518
3/9/2014,1.477044968,0.820114979,0.973415336,0
3/10/2014,2.45897885,2.613274923,0.441639934,0
3/11/2014,1.324191718,1.99796408,0.381276248,0
3/12/2014,1.694131946,1.397500266,0.475128091,0
3/13/2014,1.492536306,0.87267422,0.568979934,0
3/14/2014,2.250491426,1.869941906,0.662831777,0
3/15/2014,1.540231845,0.973772326,0.878575769,0
3/16/2014,10.13386253,1.501240559,1.094381175,2.195464066
3/17/2014,3.035800086,2.967331616,1.31018658,0.390075405
3/18/2014,2.655639014,2.001801536,0.489323288,0
3/19/2014,1.282814312,10.11691019,0.584129445,1.946920627
3/20/2014,2.26594958,1.980930315,0.678935603,0
3/21/2014,1.69135188,1.547356771,0.77374176,0
3/22/2014,10.19877078,1.799895333,0.822788038,2.226120695
3/23/2014,2.225830353,1.551777546,1.566726003,0
3/24/2014,1.729856323,1.629042616,1.564895947,0
3/25/2014,2.471746311,2.512597844,2.046754382,0.296002157
3/26/2014,1.653064708,1.31200486,0.784617435,0
3/27/2014,2.02801311,2.042039905,1.642819459,0
3/28/2014,20.19155058,1.390464286,1.979749235,5.806224011
3/29/2014,2.585248619,1.836762071,1.976105288,0.08500797
3/30/2014,0.47881379,1.672349029,1.897765192,0
3/31/2014,1.435082116,2.529080878,2.349567157,0.056879361
4/1/2014,2.946458168,1.759749836,1.71939029,0.094168742
4/2/2014,1.53863585,10.14751815,1.559759455,2.367607129
4/3/2014,1.817743178,1.687447598,1.78164823,0
4/4/2014,2.659078909,2.415795657,1.566045124,0.165942541
4/5/2014,1.577954872,10.18312862,1.458586207,2.358859211
4/6/2014,2.356048636,2.039282826,2.072516091,0.108251829
4/7/2014,2.203595225,2.083637185,20.12832141,6.090820584
4/8/2014,20.14772125,2.365838048,2.288625103,6.219697445
4/9/2014,20.16156622,1.912941529,1.341614212,5.757676631
4/10/2014,11.55319199,1.832030345,2.06209001,3.101406759
4/11/2014,2.944817767,1.445048156,1.793123901,0.013299252
4/12/2014,2.379420445,2.44498879,1.96459935,0.215305506
4/13/2014,1.655425326,2.697596574,2.706726151,0.305551995
4/14/2014,2.364732769,2.031220223,2.28404185,0.178967592
4/15/2014,2.996502471,2.966945183,2.316339432,0.712231673
4/16/2014,2.210455514,20.13093342,2.258993113,6.152429993
4/17/2014,3.547887725,2.394070358,2.233490924,0.677452313
4/18/2014,2.920469653,20.173439,10.10582795,9.018881512
4/19/2014,20.16868476,2.373475201,1.93389349,6.110987128
4/20/2014,3.067996353,3.350555969,2.019749458,0.765069904
4/21/2014,2.493809576,2.450049246,2.258509383,0.353092046
4/22/2014,3.638821976,2.715744207,2.746159247,0.985877788
4/23/2014,1.790307831,2.449616283,2.511079453,0.202637167
4/24/2014,30.15836205,1.362108187,2.275999659,9.21779261
4/25/2014,3.02314296,1.371648907,2.283215178,0.178304993
4/26/2014,2.211964158,1.324623264,1.840675862,0
4/27/2014,2.727534508,2.07274849,2.836105185,0.497765372
4/28/2014,1.593887237,2.6545113,2.616595259,0.24063391
4/29/2014,2.547027888,2.844002027,20.1853967,6.477778183
4/30/2014,2.268758484,1.620177284,1.652545589,0
5/1/2014,3.443919533,1.814997396,20.16449143,6.426772097
5/2/2014,3.017549481,20.10412788,2.420844913,6.466476736
